rank	tokenizer	model	feature_dim	dtype	rows	feature_file	representation
59	siglip2_l16_256	siglip2_l16_256	1024	float32	200000	features/059_siglip2_l16_256.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
60	siglip2_l16_384	siglip2_l16_384	1024	float32	200000	features/060_siglip2_l16_384.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
61	siglip2_l16_512	siglip2_l16_512	1024	float32	200000	features/061_siglip2_l16_512.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
62	siglip2_sm14_224	siglip2_sm14_224	1152	float32	200000	features/062_siglip2_sm14_224.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
63	siglip2_sm14_384	siglip2_sm14_384	1152	float32	200000	features/063_siglip2_sm14_384.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
64	siglip2_sm16_256	siglip2_sm16_256	1152	float32	200000	features/064_siglip2_sm16_256.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
65	siglip2_sm16_384	siglip2_sm16_384	1152	float32	200000	features/065_siglip2_sm16_384.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
66	siglip2_sm16_512	siglip2_sm16_512	1152	float32	200000	features/066_siglip2_sm16_512.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
67	webssl_dino1b_full2b_224	webssl_dino1b_full2b_224	1536	float32	200000	features/067_webssl_dino1b_full2b_224.npy	final normalized WebSSL-DINO encoder CLS token
68	webssl_mae1b_full2b_224	webssl_mae1b_full2b_224	1536	float32	200000	features/068_webssl_mae1b_full2b_224.npy	final normalized WebSSL-MAE encoder CLS token
69	webssl_mae300m_full2b_224	webssl_mae300m_full2b_224	1024	float32	200000	features/069_webssl_mae300m_full2b_224.npy	final normalized WebSSL-MAE encoder CLS token
70	webssl_mae3b_full2b_224	webssl_mae3b_full2b_224	3072	float32	200000	features/070_webssl_mae3b_full2b_224.npy	final normalized WebSSL-MAE encoder CLS token
