name,d,test_image_to_text_mean_rank,test_image_to_text_median_rank,test_image_to_text_R@1,test_image_to_text_R@5,test_image_to_text_R@10,test_text_to_image_mean_rank,test_text_to_image_median_rank,test_text_to_image_R@1,test_text_to_image_R@5,test_text_to_image_R@10,test_positive_accuracy,test_negative_accuracy,val_selector,best_lr,best_epoch
pe_lang_g14_448_tiling,1536,28.746305418719214,5.0,0.2413793103448276,0.548440065681445,0.6855500821018062,29.654351395730707,5.0,0.2504105090311987,0.535303776683087,0.6912972085385879,0.9917898178100586,0.5617780685424805,0.2724999999999999,0.0003,180
pe_lang_l14_448,1024,14.86945812807882,5.0,0.2487684729064039,0.5435139573070608,0.7068965517241379,15.270935960591132,5.0,0.2397372742200328,0.5435139573070608,0.7142857142857143,1.0,0.587275505065918,0.2615,0.0003,80
pixio_vit1b16,1536,26.50985221674877,7.0,0.1600985221674876,0.4417077175697865,0.59688013136289,27.46551724137931,7.0,0.1691297208538587,0.438423645320197,0.6018062397372742,0.9983579516410828,0.5509658455848694,0.176,0.0001,200
pixio_vitb16,768,25.007389162561577,8.0,0.1527093596059113,0.4228243021346469,0.5911330049261084,26.33169129720854,7.0,0.1707717569786535,0.4334975369458128,0.5862068965517241,0.9991790056228638,0.6026380658149719,0.176,0.0003,60
pixio_vith16,1280,23.666666666666668,7.0,0.1551724137931034,0.4392446633825944,0.5919540229885057,24.43103448275862,7.0,0.1600985221674876,0.4392446633825944,0.603448275862069,0.9991790056228638,0.5568438768386841,0.1755,0.0001,160
pixio_vitl16,1024,31.486042692939243,8.0,0.1477832512315271,0.4187192118226601,0.5755336617405583,31.59605911330049,7.0,0.1592775041050903,0.4211822660098522,0.5870279146141215,0.9958949089050292,0.5736582279205322,0.172,0.0003,120
raev2,1024,21.80788177339901,6.0,0.1756978653530377,0.4696223316912972,0.6535303776683087,22.772577996715928,6.0,0.1756978653530377,0.4761904761904761,0.6568144499178982,0.9975369572639464,0.5342007875442505,0.213,0.0001,180
siglip2_b16_224,768,20.197865353037766,5.0,0.2151067323481116,0.5328407224958949,0.6904761904761905,21.10673234811166,5.0,0.2257799671592775,0.5147783251231527,0.6921182266009852,0.9983579516410828,0.5579779148101807,0.2635,0.0003,80
siglip2_b16_256,768,21.98111658456486,5.0,0.2052545155993431,0.5270935960591133,0.6847290640394089,22.82594417077176,5.0,0.2282430213464696,0.5082101806239737,0.6732348111658456,0.9958949089050292,0.5435591340065002,0.2575,0.0003,100
siglip2_b16_384,768,19.44417077175698,5.0,0.2003284072249589,0.5377668308702791,0.7011494252873564,20.50985221674877,5.0,0.2208538587848932,0.5377668308702791,0.6954022988505747,0.9975369572639464,0.5629478693008423,0.2575,0.0003,80
siglip2_b16_512,768,16.33087027914614,5.0,0.2298850574712643,0.5336617405582923,0.6978653530377669,17.500821018062396,5.0,0.2249589490968801,0.548440065681445,0.6962233169129721,0.9991790056228638,0.5664505362510681,0.256,0.0001,180
siglip2_b32_256,768,30.530377668308702,6.0,0.1847290640394088,0.4950738916256157,0.6494252873563219,30.55911330049261,6.0,0.2077175697865353,0.4885057471264368,0.6469622331691297,0.9917898178100586,0.5344598293304443,0.2425,0.0003,100
siglip2_g16_256,1536,18.57224958949097,5.0,0.2405582922824302,0.5525451559934319,0.7118226600985221,20.05582922824302,5.0,0.2495894909688013,0.5369458128078818,0.7233169129720853,0.9967159032821656,0.5455978512763977,0.268,0.0001,200
siglip2_g16_384,1536,17.73070607553366,4.0,0.2422003284072249,0.5607553366174056,0.7208538587848933,19.20935960591133,4.0,0.2528735632183908,0.5665024630541872,0.7175697865353038,0.9975369572639464,0.5532352924346924,0.265,0.0001,140
siglip2_l16_256,1024,16.316912972085387,5.0,0.2372742200328407,0.5426929392446633,0.7019704433497537,17.38423645320197,5.0,0.2487684729064039,0.5435139573070608,0.7044334975369458,0.9975369572639464,0.570600152015686,0.2715,0.0003,80
siglip2_l16_384,1024,17.76847290640394,5.0,0.2348111658456486,0.541871921182266,0.7126436781609196,19.01313628899836,4.0,0.2274220032840722,0.5566502463054187,0.7052545155993432,0.9967159032821656,0.5518684983253479,0.284,0.0003,100
siglip2_l16_512,1024,15.459770114942527,5.0,0.2274220032840722,0.5492610837438424,0.7175697865353038,16.394909688013136,4.0,0.2454844006568144,0.5517241379310345,0.7142857142857143,0.9983579516410828,0.5573012828826904,0.279,0.0001,200
siglip2_sm14_224,1152,15.908866995073891,5.0,0.2520525451559934,0.5443349753694581,0.7093596059113301,16.881773399014776,5.0,0.2471264367816092,0.5443349753694581,0.7077175697865353,0.9975369572639464,0.5548645257949829,0.2655,0.0001,140
siglip2_sm14_384,1152,16.38095238095238,4.0,0.2422003284072249,0.5566502463054187,0.7142857142857143,17.49425287356322,4.0,0.2413793103448276,0.5533661740558292,0.715927750410509,0.9967159032821656,0.5534451007843018,0.2755,0.0001,180
siglip2_sm16_256,1152,16.383415435139575,5.0,0.2487684729064039,0.5451559934318555,0.7110016420361248,17.40968801313629,4.0,0.2430213464696223,0.5533661740558292,0.6986863711001642,0.9983579516410828,0.5524412393569946,0.2685,0.0001,160
siglip2_sm16_384,1152,16.394909688013136,5.0,0.238095238095238,0.5426929392446633,0.7167487684729064,17.474548440065682,4.0,0.2454844006568144,0.5566502463054187,0.7208538587848933,0.9983579516410828,0.5524824261665344,0.277,0.0001,180
siglip2_sm16_512,1152,18.188013136289,4.0,0.2413793103448276,0.5525451559934319,0.7101806239737274,19.27504105090312,4.0,0.2454844006568144,0.5582922824302134,0.7077175697865353,0.9967159032821656,0.561034619808197,0.2695,0.0003,100
toklip_l_384,1152,22.685550082101805,6.0,0.2110016420361248,0.4958949096880131,0.6633825944170771,23.886699507389164,6.0,0.2101806239737274,0.4991789819376026,0.6592775041050903,0.9958949089050292,0.5584123730659485,0.2415,0.0003,140
toklip_s_256,1152,20.255336617405582,6.0,0.2183908045977011,0.4811165845648604,0.6444991789819376,20.19129720853859,6.0,0.2036124794745484,0.4909688013136289,0.6395730706075534,0.9983579516410828,0.5673248171806335,0.2405,0.0001,120
uniar_bsq,4096,42.0623973727422,13.0,0.1018062397372742,0.3029556650246305,0.4474548440065681,44.39162561576354,13.0,0.0968801313628899,0.3037766830870279,0.4589490968801313,0.9983579516410828,0.4421954751014709,0.1135,0.0001,180
unitok_attn,1024,17.448275862068964,5.0,0.2405582922824302,0.5435139573070608,0.6945812807881774,19.02216748768473,5.0,0.2298850574712643,0.5435139573070608,0.6880131362889984,0.9991790056228638,0.5524938702583313,0.265,0.0001,160
vilau_256,1024,311.0451559934319,206.0,0.0090311986863711,0.028735632183908,0.0566502463054187,308.05500821018063,209.0,0.0114942528735632,0.0336617405582922,0.0525451559934318,0.9934318661689758,0.0696219280362129,0.01,0.0001,80
webssl_dino1b_full2b_224,1536,17.20689655172414,5.0,0.1781609195402299,0.5,0.6658456486042693,17.98193760262726,6.0,0.1954022988505747,0.4975369458128079,0.674055829228243,0.9991790056228638,0.5586545467376709,0.228,0.0001,200
webssl_dino300m_full2b_224,1024,24.45155993431856,8.0,0.154351395730706,0.4236453201970443,0.583743842364532,25.307060755336614,8.0,0.1551724137931034,0.4014778325123153,0.5886699507389163,0.9991790056228638,0.5345070362091064,0.1815,0.0001,160
webssl_mae1b_full2b_224,1536,93.76847290640394,33.0,0.0467980295566502,0.1559934318555008,0.2479474548440065,95.7799671592775,33.0,0.0451559934318555,0.1724137931034483,0.264367816091954,0.9802955389022828,0.5098839402198792,0.0625,0.0003,180
webssl_mae2b_full2b_224,2688,78.86206896551724,24.0,0.06403940886699508,0.20853858784893267,0.3185550082101806,80.02380952380952,25.0,0.06157635467980296,0.2110016420361248,0.3308702791461412,0.9844006299972534,0.5251951813697815,0.08549999999999999,0.0003,80
webssl_mae300m_full2b_224,1024,82.45730706075534,26.0,0.04597701149425287,0.19293924466338258,0.30049261083743845,83.41954022988506,25.0,0.054187192118226604,0.18719211822660098,0.2988505747126437,0.977011501789093,0.5267097353935242,0.077,0.0003,140
webssl_mae3b_full2b_224,3072,78.10098522167488,25.0,0.07060755336617405,0.20032840722495895,0.30623973727422005,79.06732348111659,24.0,0.05582922824302135,0.20853858784893267,0.32101806239737274,0.982758641242981,0.5261140465736389,0.0785,0.0003,140
webssl_mae700m_full2b_224,1280,90.66009852216749,29.0,0.052545155993431854,0.17898193760262726,0.2717569786535304,91.08620689655173,30.0,0.046798029556650245,0.18883415435139572,0.29310344827586204,0.9778324961662292,0.5263906121253967,0.068,0.0003,160
