name,d,ridge_std,ridge_raw,sgd_std,sgd_std_lr,sgd_raw,sgd_raw_lr
eupe_vit_s,384,0.7287858271976769,0.7293012697324679,0.7266216848190985,0.5,0.6709028454969245,0.5
eupe_vit_t,192,0.6023032248375318,0.6035380841685002,0.6139886701806593,0.5,0.5899690318013345,0.5
mc1_b16_224_2.5b,768,0.6923980781598653,0.6916496898339951,0.6774838848362627,0.5,0.628710307675398,0.5
mc1_b16_224_400m,768,0.6821118578273506,0.6825022438765851,0.6693436442694373,0.5,0.6245527799923221,0.5
mc1_b32_224_2.5b,768,0.6378721907878168,0.638974459893074,0.6164904398202246,0.5,0.5544541609011033,0.5
mc1_b32_224_400m,768,0.6460837697838201,0.6463879995393083,0.6224901862840344,0.5,0.5677526866925482,0.5
mc1_g14_224_2.5b,1664,0.7708755017710566,0.7710606854474344,0.7170586138506138,0.5,0.6887050516824321,0.5
mc1_h14_224_2.5b,1280,0.7719670029200447,0.7752997355249056,0.756090501656589,0.5,0.6001549821573441,0.5
mc1_h14_224_v1.2,1280,0.7626398685785006,0.7622679984089664,0.7240392769345955,0.5,0.7008299609326143,0.5
mc1_l14_224_2.5b,1024,0.7453944767874218,0.7464988025802298,0.7247975477927071,0.5,0.7053956851389879,0.5
mc1_l14_224_400m,1024,0.7438592659056545,0.7428249465302069,0.704510325056524,0.5,0.701652886494223,0.5
mc2_b16_224,768,0.6812222824191574,0.679069947842011,0.656989554672477,0.5,0.6611525376164101,0.5
mc2_b16_384,768,0.694476760913603,0.692260737440626,0.670098903075881,0.5,0.6658937892202954,0.5
mc2_b32_224,768,0.6337201928120643,0.6342649272005877,0.6146306589643092,0.5,0.6100017353733675,0.5
mc2_b32_224_mt5,768,0.6390981343360183,0.6410244597010689,0.6197861859749806,0.5,0.6195223238087632,0.5
mc2_b32_384,768,0.6506623275701631,0.6485944555398713,0.629182446609069,0.5,0.6187464838371919,0.5
mc2_g14_224,1664,0.7888183148804015,0.7887239520093755,0.7427832376565734,0.5,0.7801828682898666,0.5
