name,ridge_std_obj80,ridge_raw_obj80,sgd_std_obj80,sgd_raw_obj80,ridge_std_dom,ridge_raw_dom,sgd_std_dom,sgd_raw_dom
eupe_vit_t,0.6023032248375318,0.6035380841685002,0.6139886701806593,0.5899690318013345,0.6464425135462438,0.6508577223214929,0.6303807854216616,0.5935134157342972
mc1_b16_224_2.5b,0.6923980781598653,0.6916496898339951,0.6774838848362627,0.628710307675398,0.7502762054296717,0.7481974021220252,0.7068472483861578,0.6487411302568191
mc1_b16_224_400m,0.6821118578273506,0.6825022438765851,0.6693436442694373,0.6245527799923221,0.7268043449414083,0.7260847598532179,0.6822305165004499,0.6287581421241446
mc1_b32_224_2.5b,0.6378721907878168,0.638974459893074,0.6164904398202246,0.5544541609011033,0.6847803881768766,0.6869673082781101,0.6289751249199904,0.5721291779589435
mc1_b32_224_400m,0.6460837697838201,0.6463879995393083,0.6224901862840344,0.5677526866925482,0.6886064041039408,0.6879156785861931,0.6398965195981298,0.5757196012722738
mc1_g14_224_2.5b,0.7708755017710566,0.7710606854474344,0.7170586138506138,0.6887050516824321,0.7795908364810844,0.7766715747014145,0.6891269732624814,0.6770138087576093
mc1_h14_224_2.5b,0.7719670029200447,0.7752997355249056,0.756090501656589,0.6001549821573441,0.7792093981583956,0.7797587432818213,0.7309259182532575,0.5329877929706163
mc1_h14_224_v1.2,0.7626398685785006,0.7622679984089664,0.7240392769345955,0.7008299609326143,0.7744181913699663,0.7710303903298823,0.6934326154111524,0.6791415605732932
mc1_l14_224_2.5b,0.7453944767874218,0.7464988025802298,0.7247975477927071,0.7053956851389879,0.7704641335006873,0.7668978017334304,0.7316536915359988,0.6919923367271165
mc1_l14_224_400m,0.7438592659056545,0.7428249465302069,0.704510325056524,0.701652886494223,0.7682391672678547,0.7697365759554693,0.701489973351335,0.6934149406737199
mc2_b16_224,0.6812222824191574,0.679069947842011,0.656989554672477,0.6611525376164101,0.7405177587119516,0.7405710196936343,0.6900100064756723,0.6853380842188547
mc2_b16_384,0.694476760913603,0.692260737440626,0.670098903075881,0.6658937892202954,0.7596299102173615,0.7553274646574916,0.69675949731528,0.6875438425622641
mc2_b32_224,0.6337201928120643,0.6342649272005877,0.6146306589643092,0.6100017353733675,0.676931220249661,0.6760407852473186,0.6307907844035064,0.6267799438458461
