predicted_position,tokenizer,registry_name,family,calibration_model,mean_domain_rank,caption_loss,reasoning_loss,caption_rank,reasoning_rank,caption_real_minus_shuffled,reasoning_real_minus_shuffled,caption_real_minus_zero,reasoning_real_minus_zero,qwen2_5,mllm_position,position_error
42,dino_vits8,dino_vits8,dino,False,41.0,2.5104619171470404,1.1329402765259147,61.0,21.0,-0.3800056856125593,0.0013562659732997417,-1.185270892456174,-0.21060224110260606,30.68,77,-35
43,eupe_vit_s,eupe_vit_s,eupe,False,41.0,2.320603907108307,1.5691776312887669,21.0,61.0,-0.9487370029091835,-0.028177784755825996,-1.4464217573404312,-0.05559962894767523,41.11,56,-13
44,pe_core_t16_384,pe_core_t16_384,pe_core,False,41.0,2.433488719165325,1.2499098451808095,51.0,31.0,-0.558538056910038,-0.0009907297790050507,-1.2933760769665241,-0.18785829283297062,36.86,66,-22
45,mc2_b32_384,mc2_b32_384,mc2,False,41.5,2.428372398018837,1.3123346623033285,47.0,36.0,-0.6231941469013691,0.010298262815922499,-1.2879115901887417,-0.4013713067397475,43.07,47,-2
46,pe_core_s16_384,pe_core_s16_384,pe_core,False,41.5,2.384244479238987,1.4400518485344946,36.0,47.0,-0.7073732279241085,0.027900523506104946,-1.3426203168928623,0.0022837105207145214,43.54,42,4
47,I-JEPA,I-JEPA,ijepa,False,42.0,2.3296312633901834,1.566947178915143,24.0,60.0,-0.8489606883376837,-0.0353242214769125,-1.4373944010585546,-0.057830081321299076,36.48,67,-20
48,mc1_b32_224_2.5b,mc1_b32_224_2.5b,mc1,False,42.0,2.531443515792489,1.0162353958003223,67.0,17.0,-0.36918313056230545,0.04751778580248356,-1.121625678613782,-0.8473823782987893,39.04,62,-14
49,siglip2_l16_512,siglip2_l16_512,siglip2,False,42.0,2.2616325188428164,1.8349208738654852,12.0,72.0,-0.9869555253535509,0.06198748107999563,-1.3948016483336687,0.5627153906971216,54.47,5,44
50,eupe_convnext_t,eupe_convnext_t,eupe,False,43.5,2.2925760075449944,1.7687475495040417,17.0,70.0,-0.983254924416542,0.01048910990357399,-1.345151238143444,-0.06738279666751623,41.9,49,1
51,mc1_h14_224_2.5b,mc1_h14_224_2.5b,mc1,False,43.5,2.561820162460208,1.0115463379770517,71.0,16.0,-0.2622634544968605,0.017990656197071075,-1.2052055019885302,-0.6132309222593904,48.92,24,27
52,eupe_vit_t,eupe_vit_t,eupe,False,44.5,2.3346521463245153,1.6182421930134296,25.0,64.0,-0.8874741103500128,0.010364123620092869,-1.4323735181242228,-0.006535067223012447,26.94,79,-27
53,mc2_b16_224,mc2_b16_224,mc2,False,45.0,2.385446898639202,1.4622288928367198,38.0,52.0,-0.7254472970962524,0.02762108203023672,-1.3147142864763737,-0.19889501249417663,45.56,34,19
54,toklip_l_384,toklip_l_384,toklip,False,45.0,2.2761136405169964,2.059362438507378,14.0,76.0,-1.0406187996268272,-0.029046338982880116,-1.450751155614853,0.621594300493598,43.99,41,13
55,mc2_m16_224,mc2_m16_224,mc2,False,47.0,2.364705953747034,1.6838024286553264,28.0,66.0,-0.7686134837567806,-0.0074651651084423065,-1.3354552313685417,0.02267852332442999,43.34,44,11
56,mc2_s16_384,mc2_s16_384,mc2,False,47.0,2.387745037674904,1.5046365251764655,40.0,54.0,-0.733917411416769,0.0017760195769369602,-1.3391197584569454,0.0668683871626854,41.58,51,5
57,mc2_m16_224_mt5,mc2_m16_224_mt5,mc2,False,47.5,2.3564971908926964,1.6960942558944225,27.0,68.0,-0.8316438049077988,-0.03798035904765129,-1.3436639942228794,0.034970350563526154,43.25,45,12
58,pe_lang_l14_448,pe_lang_l14_448,pe_lang,False,47.5,2.516474625095725,1.2755417311564088,62.0,33.0,-0.3781087528914213,-0.030374214984476566,-1.13995954208076,0.0033362479880452156,45.62,33,25
59,dino_vits16,dino_vits16,dino,False,48.0,2.4965752121061087,1.3500435268506408,58.0,38.0,-0.39336473122239113,0.008711166679859161,-1.2035859730094671,-0.3110803784802556,29.69,78,-19
60,webssl_mae300m_full2b_224,webssl_mae300m_full2b_224,webssl_mae,False,48.0,2.558233989402652,1.228635000064969,70.0,26.0,-0.24859701469540596,-0.0009152255952358246,-1.141927195712924,-0.4324889052659273,33.59,75,-15
61,dinov2_small,dinov2_small,dinov2,False,50.5,2.381493205204606,1.6923814197070897,34.0,67.0,-0.6988813672214746,-0.006662946660071611,-1.385532459244132,0.06760415947064757,38.78,63,-2
62,pe_core_b16_224,pe_core_b16_224,pe_core,False,50.5,2.4253477193415165,1.5216944050043821,46.0,55.0,-0.7120288573205471,0.026629118714481592,-1.2748134657740593,-0.13942950032651424,45.91,32,30
63,siglip2_sm16_384,siglip2_sm16_384,siglip2,False,52.5,2.3774967528879642,1.9108070442453027,32.0,73.0,-0.6982841081917286,-0.01821176055818796,-1.349368043243885,0.47303890623152256,53.12,8,55
64,mc1_g14_224_2.5b,mc1_g14_224_2.5b,mc1,False,53.0,2.4645303767174482,1.4617774276994169,55.0,51.0,-0.5268112998455763,0.0020524500869214535,-1.3024952877312899,-0.1629998325370252,49.86,21,43
65,mc2_g14_378,mc2_g14_378,mc2,False,53.0,2.4627646673470736,1.4774583685211837,53.0,53.0,-0.4912425894290209,0.0012133680284023285,-1.189932158216834,0.12308436306193471,52.56,11,54
66,dino_vitb16,dino_vitb16,dino,False,55.0,2.5045489259064198,1.455600623972714,60.0,50.0,-0.39572301506996155,0.010669310577213764,-1.195612259209156,-0.20552328135818243,34.84,71,-5
67,dino_vitb8,dino_vitb8,dino,False,56.0,2.520836029201746,1.4515075851231813,63.0,49.0,-0.36974434554576874,-0.03935306053608656,-1.1748967804014683,0.10796506749466062,31.33,76,-9
68,pixio_vitl16,pixio_vitl16,pixio,False,56.0,2.4303974471986294,1.5800951239652932,49.0,63.0,-0.6287937127053738,-0.006473715882748365,-1.3366282172501087,-0.04468213627114892,45.95,31,37
69,mc2_b32_224_mt5,mc2_b32_224_mt5,mc2,False,58.0,2.4084088932722807,1.9171439670026302,42.0,74.0,-0.7107740454375744,0.02366377506405115,-1.2446603011339903,0.05352619290351868,41.62,50,19
70,webssl_mae1b_full2b_224,webssl_mae1b_full2b_224,webssl_mae,False,60.0,2.5629059728235006,1.4405359332449734,72.0,48.0,-0.2646396942436695,-0.005281747784465551,-1.2041196916252375,-0.18424132699146867,33.73,74,-4
71,webssl_mae700m_full2b_224,webssl_mae700m_full2b_224,webssl_mae,False,60.0,2.5219609662890434,1.5420901095494628,64.0,56.0,-0.3525099568068981,-0.00649714469909668,-1.2450646981596947,-0.0826871506869793,33.78,73,-2
72,mc1_b32_224_400m,mc1_b32_224_400m,mc1,False,62.5,2.46508271060884,1.7502667717635632,56.0,69.0,-0.4941041115671396,-0.06477845087647438,-1.187986483797431,-0.1133510023355484,37.63,64,8
73,mc1_l14_224_400m,mc1_l14_224_400m,mc1,False,62.5,2.4643304347991943,1.8193828854709864,54.0,71.0,-0.48722177371382713,0.011415897868573666,-1.3026952296495438,0.19460562523454428,47.08,28,45
74,webssl_mae3b_full2b_224,webssl_mae3b_full2b_224,webssl_mae,False,65.5,2.589807156473398,1.545005296356976,74.0,57.0,-0.202284287661314,0.019697735086083412,-1.17721850797534,-0.07977196387946606,36.13,69,5
75,mc1_h14_224_v1.2,mc1_h14_224_v1.2,mc1,False,67.0,2.499701114371419,1.9396231109276414,59.0,75.0,-0.38422056660056114,0.060837654396891594,-1.2673245500773191,0.3148458506911993,51.16,15,60
76,uniar_bsq,uniar_bsq,uniar,False,67.0,2.654086025431752,1.5491807027719915,75.0,59.0,-0.029206981882452965,-0.007950026541948318,-0.9836412202566862,-0.2869496433995664,40.87,59,17
