name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res,d_s,n_tokens_s,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act,mean_domain_rank,caption_loss,mAP_ocr_word,mAP_ocr_num,mAP_ocr_dense,mAP_oi_class
mc2_g14_378,mc2,52.56,47.08,52.56,45.93,86.64,83.5,48.69,2.5671,-2.35,1664,729,82.22661650753966,432.7796790710911,0.8852898697112691,3.0,16.0,0.9885169118538998,lang,3.014370482448726,1664,729,0.0497892602437913,104.47752628616664,349.28147978022844,0.2970295841150697,0.2917062751373934,0.2967997262661498,0.2853633278512598,-0.0053233089776763,0.0114363984148899,0.0669987007362494,0.3014030094565236,0.7960068813306121,0.8012782894484235,0.4978495886969364,0.5002393015172494,0.4153172557391498,0.4513453957940923,0.2267662279458313,0.134532526625176,0.214476947397441,0.4249386040749353,53.0,2.4627646673470736,0.1650145391616398,0.0798980967727491,0.8705307159482896,0.5096696173683325
mc2_h14_378,mc2,50.89,40.52,50.89,,85.96,82.3,48.08,2.6415,-2.33,1280,729,54.75247597746283,418.91157246085135,0.8829028543505993,4.0,16.0,0.9867165979407928,lang,1.7251264187601478,1280,729,0.0821949260603389,63.2065220574028,236.0059716197296,0.2661479170507518,0.2656438624543741,0.2612858951913271,0.2470071127328015,-0.0005040545963777,0.0142787824585256,0.0543741879601559,0.2282079353232204,0.7732897048341438,0.7778734394057993,0.4712240141485121,0.5089357270768492,0.4122318416555151,0.4236105345991491,0.1742308691660767,0.1252964994637903,0.1702489626196669,0.3852455818793062,38.5,2.538128415122628,0.1702178727110203,0.0992751912351429,0.8711402107777737,0.4886141028513137
mc2_l14_224,mc2,49.46,40.43,49.46,41.39,84.0,79.2,46.37,2.4668,-2.33,1024,256,57.88364097657198,395.73744757189775,0.869663941965598,4.0,14.0,0.9912569858049572,lang,1.3925994116577698,1024,256,0.065220897797082,61.69115195486423,176.8437132716666,0.2633385180555225,0.2639078110956326,0.2584271441530968,0.2494164923917811,0.0005692930401101,0.0090106517613157,0.0519272412299696,0.2735662308832047,0.7680258462320573,0.7426503052141294,0.4473839669654449,0.4573471961535481,0.4107807842412212,0.4152388739078916,0.1856454041167047,0.1293384454212734,0.1495201611521301,0.3528935111713538,31.5,2.349243091419339,0.1601798821603349,0.1121428140341072,0.869140887954595,0.5082302755244035
mc2_m16_224,mc2,43.34,38.76,43.34,,74.88,66.4,42.62,2.6228,-2.4,512,196,66.561316622511,361.0980096684081,0.8670590274283405,3.0,13.0,0.9912194609920544,lang,0.3792084398344784,512,196,0.057347904546794,66.5613166225111,144.14916693708875,0.2378900915306819,0.238611616741908,0.2365745682596017,0.2226615489937372,0.000721525211226,0.0139130192658645,0.0541143352100476,0.2891826558140024,0.7057229633203865,0.6581296301374926,0.3948354183138927,0.4164505549061674,0.3673525544040042,0.38921726314081,0.2163566015866117,0.1325654008661123,0.1433366259787913,0.3180029990719795,47.0,2.364705953747034,0.1450426376038938,0.0913166303947994,0.8531163331929241,0.4919016587571925
mc2_m16_224_mt5,mc2,43.25,40.42,43.25,,74.76,67.0,41.79,2.6231,-2.49,512,196,46.28714434517789,353.82395633711127,0.8833700740324043,3.0,11.0,0.993121351973846,lang,0.3564006638894241,512,196,0.0821181551677036,46.28714434517779,118.4075471375557,0.2422516832387508,0.2402318359176157,0.2396743383658207,0.2278933270292931,-0.002019847321135,0.0117810113365276,0.0530749242096145,0.2734345020152329,0.703142460860074,0.6502975136029358,0.385479978269434,0.4003725241925333,0.3641372373674722,0.3819451768077461,0.214159965934666,0.1245699744935302,0.1502855724897545,0.31634428451827,47.5,2.3564971908926964,0.1254281886279309,0.1125235893665676,0.861485438984299,0.489228286126344
mc2_m16_384,mc2,44.79,42.93,44.79,,76.84,68.4,41.91,2.5923,-2.49,512,576,64.40918680588281,356.61551942424575,0.8674110019226247,3.0,14.0,0.9908276071163172,lang,0.7317354469368453,512,576,0.0591336397377403,64.40918680588285,139.7363414205726,0.2353182291096164,0.2355468381802404,0.2350852099501594,0.2214206853486786,0.000228609070624,0.0136645246014808,0.0517973148549155,0.2801372394568084,0.714107456974354,0.6592561602821281,0.3945512850717746,0.419515143693226,0.3810178417174704,0.3891601603349733,0.2136628227574875,0.1305895679972184,0.1405512518673451,0.302202349039568,18.0,2.3722073175013065,0.1479236949118768,0.086650566053296,0.8434888693487232,0.4932071963973372
mc2_s16_224,mc2,41.05,39.77,41.05,30.59,71.2,61.4,40.22,2.6661,-2.53,384,196,54.283010272454895,265.9415131093064,0.892178785781628,3.0,13.0,0.9927467792242836,lang,0.1497699775198029,384,196,0.0612327339950458,54.28301027245488,110.02128551541254,0.2363297633819524,0.2348068604188022,0.2359990444074997,0.221042747506365,-0.0015229029631501,0.0149562969011347,0.055175400606323,0.2922929487418004,0.6768199906519201,0.6336133392854728,0.3912560646917439,0.4054453163486278,0.3747785522125458,0.3787689617924911,0.2293696464922276,0.13332334788253,0.1496085638324004,0.3207306562421776,37.0,2.5639504492282867,0.1375689139753024,0.0993103526477544,0.858591382655381,0.5008508521719806
mc2_s16_224_mt5,mc2,41.35,39.12,41.35,,68.99,55.8,39.21,2.6624,-2.51,384,196,53.895171894534606,281.8023897833207,0.9092994310726786,3.0,12.0,0.9921234390739742,lang,1.6872267705319288,384,196,0.0758236662683676,53.89517189453461,118.33327045061704,0.233024057749501,0.2310450311171356,0.2323043038396585,0.2195378075790972,-0.0019790266323654,0.0127664962605612,0.0536595928973581,0.2791421922981372,0.692046890001015,0.6441396560677036,0.3883777773010727,0.396811469888808,0.3433898085995513,0.3764896669692508,0.2098297060502584,0.1315134739613929,0.1489245582901015,0.3130165800512321,31.5,2.3242353089153767,0.1262696317536632,0.0961776774716264,0.8349168470830015,0.5063446835550727
mc2_s16_384,mc2,41.58,40.91,41.58,,73.57,63.9,41.36,2.6548,-2.47,384,576,51.89564561526157,263.0795926916137,0.8989199320789428,3.0,12.0,0.9923558860644708,lang,-0.6472764475655879,384,576,0.0632696541840541,51.89564561526162,106.2453621954932,0.2414078015466791,0.2403741745471528,0.2415490002629576,0.2271093911256311,-0.0010336269995263,0.0144396091373265,0.0537895192724123,0.2908246596218041,0.686078215168218,0.6486171133717398,0.3994221320973243,0.4175973338180291,0.4008659972320647,0.3850136521363488,0.2098466283785009,0.1388483185886347,0.1539119071262577,0.3275577937824941,47.0,2.387745037674904,0.1393878569800081,0.0946965181515911,0.8525363855331868,0.5015953597432203
pe_core_b16_224,pe_core,45.91,,45.91,35.77,81.45,,,,-2.39,768,196,18.50316018027157,240.441472995444,0.8768889624584234,5.0,20.0,0.997231929425496,lang,-0.7295658271744117,768,196,0.1172815213030382,18.65407001063503,35.69792949174174,0.275003132234783,0.2792054310736181,0.2738693696351328,0.2651824146957211,0.0042022988388351,0.0086869549394117,0.0428540493720225,0.1319971621303141,0.7636856813602316,0.7256148851581933,0.4299211437557203,0.4512975790086775,0.4120675365889173,0.4240871608037659,0.2539044962753316,0.1421125945761651,0.1944706683923341,0.3708860495199097,50.5,2.4253477193415165,0.1401876249510666,0.1241823933364255,0.8729353224070866,0.5316995855258211
