name,mAP_obj80,mAP_dom,mAP_small,mAP_word,mAP_word_head,mAP_word_tail
mc1_h14_224_v1.2,0.7626398685785006,0.7744181913699664,0.33942162987283564,0.375403006623068,0.4259861164498894,0.3202984828051867
mc1_l14_224_2.5b,0.7453944767874218,0.7704641335006873,0.3404132848813676,0.3860407079874065,0.4407980074893908,0.3273019696622932
mc1_l14_224_400m,0.7438592659056545,0.7682391672678547,0.3440605026113515,0.38279384218230605,0.43738112226129233,0.3272728242079931
mc2_b16_224,0.6812222824191574,0.7405177587119516,0.2760573683469221,0.3498068794731017,0.4005211432674116,0.2955929314737861
mc2_b16_384,0.694476760913603,0.7596299102173615,0.2759081423010497,0.35088692383659376,0.39989575995384413,0.2960740763705772
mc2_b32_224,0.6337201928120643,0.676931220249661,0.2629651398127418,0.327391001770688,0.379038720360392,0.27702887854058367
mc2_b32_224_mt5,0.6390981343360184,0.7020989122312163,0.27055000191132156,0.33686286836759294,0.3891255691820064,0.2867491670091362
mc2_b32_384,0.650662327570163,0.6895687988781639,0.264363089310349,0.33146347263239,0.3831585670866445,0.2830037172594681
mc2_g14_224,0.7888183148804015,0.8016929770624358,0.357181398717924,0.402955831855533,0.4530530947152625,0.3466790177835699
mc2_g14_378,0.8012782894484235,0.7924931194964333,0.35996148833380104,0.4053621581966243,0.4587457078279711,0.3434253556445323
mc2_h14_378,0.7778734394057993,0.7761335059553182,0.3283207553951403,0.3742244460291542,0.41684726836054514,0.3208286715586066
mc2_l14_224,0.7441072888129358,0.7689234214242159,0.32508106430477746,0.36511910587707896,0.4129589849353897,0.31024497159709424
mc2_m16_224,0.6559977673336053,0.7051485673103259,0.29240514453697974,0.3438409835822736,0.4023909498803141,0.2912268272913633
mc2_m16_224_mt5,0.6495379189006617,0.7073261372713004,0.27155365328628706,0.3409655429577288,0.391007305740927,0.2909777306112999
mc2_m16_384,0.6580806830350522,0.7167380325425062,0.28517495465514886,0.3424221442553889,0.39935366801210376,0.2910571654355563
mc2_s16_224,0.6340769129965391,0.6753073880642869,0.28334835085374765,0.3359928379607759,0.3968160189432349,0.2839139741946105
mc2_s16_224_mt5,0.6443517903237946,0.6895882446493402,0.28382315578864536,0.33347316477010125,0.38810216278146237,0.28290671182825355
mc2_s16_384,0.6503474114220248,0.6868269702668365,0.30524262682497294,0.34156750029866384,0.3991879182561331,0.2893505854830548
pe_core_b16_224,0.7262013696085745,0.761728380188839,0.3075161113796663,0.3791336614086435,0.43949656058466724,0.32058855380663376
pe_core_g14_448,0.8247924369551128,0.8156905710853307,0.35868100435272077,0.42077159654488466,0.484809193157613,0.35535565849691503
pe_core_l14_336,0.8068955339706688,0.8043261402837628,0.33953922845925405,0.4082121703255694,0.46612140434833615,0.34804083419159526
pe_core_s16_384,0.644544154113136,0.6832529277220604,0.2810546702725198,0.3417023923526463,0.40919146343194707,0.2847292457073497
pe_core_t16_384,0.5496305522064592,0.5725245105997604,0.2583363134008495,0.3032161371620345,0.3732627591772663,0.25129442730166374
pe_lang_g14_448,0.8431374381568302,0.819440038755702,0.39725746210964485,0.42561997991573974,0.480330431640324,0.36204231034225254
pe_lang_g14_448_tiling,0.8234289253274323,0.8184398442044575,0.3720247474917954,0.41851987306179195,0.474113902472775,0.3562612757174856
pe_lang_l14_448,0.8014212390398933,0.8043220818612467,0.35825676931714523,0.4058791089957174,0.46109978989522427,0.34335242296079915
pixio_vit1b16,0.6954838581684016,0.7568849007899872,0.3266008401071381,0.3721901825328068,0.4297042464085316,0.30773563512808944
pixio_vitb16,0.6659259494702598,0.7165966005406651,0.3197382867050941,0.3664851782913774,0.4257411384100007,0.3046001935708893
