name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res,d_s,n_tokens_s,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt
dinov3,dinov3,36.88,,36.88,,83.36,,,,-2.68,1024,256,84.026963162961,413.52839719395234,0.8770317515079891,3.0,14.0,0.9876021756008404,ssl,-10.829042060049126,1024,256,0.0475009822840008,89.69449545972104,224.55371243544695,0.2752920374354701,0.2737121601082883,0.2741500941569433,0.2613360242549306,-0.0015798773271817,0.0128140699020127,0.0620398440883499,0.313222486609109
eupe_convnext_b,eupe,44.04,,44.04,,76.68,,,,,1024,64,34.824563348844855,367.6123585123881,0.8978793102468793,2.0,11.0,0.994246947506058,lang,0.0713250790101156,1024,64,0.116647069825206,35.90903345969377,119.40801662172308,0.3046501132383385,0.3043535771877835,0.3009700847730004,0.2922132034393863,-0.000296536050555,0.0087568813336141,0.0677349501948895,0.3056418987241238
eupe_convnext_s,eupe,43.51,,43.51,,74.43,,,,,768,64,28.090233203716988,344.0974960612599,0.8796419607976002,2.0,9.0,0.9955321854940932,lang,0.8011792800405502,768,64,0.137662499238223,28.381182707501434,92.51209699648358,0.2995848994818849,0.3011590341817358,0.2992309666833591,0.2910391468616599,0.0015741346998509,0.0081918198216992,0.0665656128194023,0.3063497140528439
eupe_convnext_t,eupe,41.9,,41.9,,67.66,,,,,768,64,24.564335069557103,337.6852834381899,0.8736367818535332,2.0,8.0,0.9965769429924012,lang,2.9819405871410254,768,64,0.1509270770854763,24.79668636003385,83.75319561174848,0.2902589438608598,0.2915737943986894,0.2864205815765078,0.278845331922339,0.0013148505378296,0.0075752496541687,0.0636639237765266,0.2990012328802853
eupe_vit_b,eupe,41.52,,41.52,35.74,83.22,,,,-2.63,768,256,26.94480069423372,361.57355400515655,0.9008965141120752,2.0,8.0,0.9951440860305808,lang,-6.1106511319850085,768,256,0.1181565906692761,27.367407840113067,93.91434986450864,0.3060804280798335,0.3077900417672692,0.3016331107651329,0.2956016063012628,0.0017096136874357,0.00603150446387,0.0648765699436985,0.3112095244956008
eupe_vit_s,eupe,41.11,,41.11,32.79,77.01,,,,,384,256,36.17949390207548,255.3658630689512,0.9151688998193211,2.0,9.0,0.9952709402700152,lang,-3.043453537141012,384,256,0.1009908004822896,36.17949390207546,90.46439169152956,0.292161956954646,0.2904198347679245,0.2889237363361477,0.2803501363256261,-0.0017421221867214,0.0085736000105216,0.0658077089649198,0.3374506910365197
eupe_vit_t,eupe,26.94,,26.94,29.68,62.19,,,,,192,256,26.910409256228743,125.17233525926112,0.9330776547758748,2.0,9.0,0.9978437742315516,lang,-8.915213866353863,192,256,0.1205973745297301,26.91040925622873,54.75543613228947,0.2520579318288746,0.2516123254338928,0.2520072706177066,0.2408980277881033,-0.0004456063949818,0.0111092428296033,0.0593546990038977,0.3136487571781188
mc1_b16_224_2.5b,mc1,44.74,43.9,44.74,37.05,77.38,72.1,42.57,2.603,-2.5,768,196,60.80133595041139,387.02682044013886,0.8653196704711738,3.0,13.0,0.9930094158944984,lang,0.3793704386895484,768,196,0.0616753087998634,62.89546755144045,160.0755378207759,0.2580644019640306,0.2605995394547591,0.2576312102721503,0.2458250767634837,0.0025351374907285,0.0118061335086665,0.0572109138155045,0.2991244767721286
mc1_b16_224_400m,mc1,44.78,44.05,44.78,,76.47,70.8,43.46,2.6238,-2.44,768,196,60.08264106735785,396.2989606318002,0.8677266417488375,3.0,12.0,0.9927991639003004,lang,0.9289114711062963,768,196,0.0682018874619285,62.51962037116152,169.73636840349604,0.246573075911941,0.248183661141747,0.2447277874341559,0.2334630767965565,0.001610585229806,0.0112647106375993,0.0567345171069727,0.2880155318728633
mc1_b32_224_2.5b,mc1,39.04,38.43,39.04,,73.35,67.6,41.19,2.8651,-2.63,768,49,58.9763180509645,400.6911951630501,0.8126388081317651,3.0,11.0,0.993333783350689,lang,-3.064090703464828,768,49,0.0645037262749019,61.19015252648902,171.38174076923968,0.2404928430474181,0.2408966373629755,0.2410696092458908,0.2254086369055435,0.0004037943155573,0.0156609723403472,0.0553269813772195,0.2856414868227172
mc1_b32_224_400m,mc1,37.63,34.69,37.63,,72.36,65.6,41.39,2.8638,-2.7,768,49,52.02495781005263,407.46441904565,0.8355792674099858,3.0,11.0,0.9935461366322744,lang,-3.919754855011441,768,49,0.0821835266213402,54.79141698122892,175.05401313797157,0.2357285544979749,0.2366429933251947,0.2334022257412892,0.2198669735054425,0.0009144388272198,0.0135352522358467,0.0522953659592897,0.2556682214036131
mc1_g14_224_2.5b,mc1,49.86,47.7,49.86,43.19,85.13,82.1,47.96,2.5197,-2.34,1664,256,77.72718087698229,436.0207347444853,0.893346584965644,4.0,18.0,0.9843328074990594,lang,1.1598726351402604,1664,256,0.0575320604271864,100.44349437551628,356.8780989365597,0.2783143029656694,0.2731646588268531,0.2798361964566426,0.266142221654628,-0.0051496441388162,0.0136939748020146,0.0630576006929406,0.2534396281492171
mc1_h14_224_2.5b,mc1,48.92,46.4,48.92,,83.77,80.5,47.53,2.5947,-2.39,1280,256,4.260109105231983,352.6049533486888,0.8944745959028454,1.0,7.0,0.9966538933824184,lang,0.9813845077631028,1280,256,0.4382442555843118,4.568136232924704,26.01032294554287,0.2783354101112099,0.2741521070116712,0.2846900611489542,0.2688715687462145,-0.0041833030995386,0.0158184924027396,0.0472282373321784,0.0981073677358576
mc1_h14_224_v1.2,mc1,51.16,48.67,51.16,39.42,85.64,82.0,46.58,2.4454,-2.31,1280,256,58.351283964553865,424.3581068183019,0.8914945460414799,4.0,16.0,0.9869857632027236,lang,2.174305682906692,1280,256,0.0827450962984565,66.76672529643335,247.3707537229747,0.2642256249111686,0.2623458122270438,0.2587749628565284,0.2462371973562567,-0.0018798126841248,0.0125377655002717,0.0558899956691208,0.2274240370551449
mc1_l14_224_2.5b,mc1,48.78,46.08,48.78,40.68,82.6,79.2,46.98,2.5503,-2.37,1024,256,68.62453086102435,394.48626829613534,0.8899088512089556,3.0,18.0,0.98720975920472,lang,1.4965086922989317,1024,256,0.0569998935267576,73.00590648717107,188.27799520107985,0.2757977343318369,0.277110105481452,0.2724333367737572,0.2618878907823405,0.001312371149615,0.0105454459914167,0.057665656128194,0.2772656693496383
mc1_l14_224_400m,mc1,47.08,45.89,47.08,,81.44,76.2,43.99,2.5816,-2.34,1024,256,99.15671699502929,429.1881106117532,0.8709560785212402,4.0,17.0,0.9878054698014104,lang,0.4460335248301774,1024,256,0.0446231351215707,110.27310172865256,277.1841000147613,0.268843300345701,0.2680517432845974,0.2695726776874231,0.2553327691136242,-0.0007915570611035,0.0142399085737988,0.0629926375054135,0.2862015656115686
mc2_b16_224,mc2,45.56,43.65,45.56,,78.65,71.4,44.64,2.5582,-2.42,768,196,65.40999879182328,392.1624817998133,0.8793046591753281,3.0,11.0,0.9928613753260992,lang,0.4882527341079168,768,196,0.0644678469750151,67.36761580708458,171.25935238756958,0.2479744825679858,0.2493752720126085,0.2445324018691771,0.233341354201762,0.0014007894446227,0.011191047667415,0.0556084885231702,0.3048159857786251
mc2_b16_384,mc2,46.85,44.29,46.85,,80.21,73.0,44.96,2.6012,-2.44,768,576,62.58167472085795,387.4332850382728,0.8684903286155953,3.0,11.0,0.9929778366824612,lang,0.9047538213934844,768,576,0.0670371386840459,64.25808395330723,163.48832898901114,0.246555467295533,0.2480577762533641,0.2438814817596921,0.2325253614699081,0.0015023089578311,0.011356120289784,0.0558466868774361,0.3019349968084187
mc2_b32_224,mc2,41.35,38.24,41.35,,74.25,66.1,40.67,2.6583,-2.5,768,49,56.51796203043133,389.29245075263776,0.84218346519732,3.0,10.0,0.9946467129620468,lang,-1.2580323838770084,768,49,0.068200222510483,58.41543746551812,158.30652537890597,0.2318831234262341,0.2323316578633374,0.2256105044084634,0.2144895426659574,0.0004485344371032,0.0111209617425059,0.0512343005630143,0.2965074906621197
mc2_b32_224_mt5,mc2,41.62,35.39,41.62,,74.24,66.6,40.43,2.6402,-2.51,768,49,53.28401728988633,390.4493781980283,0.8630991786623726,2.0,10.0,0.993750698922376,lang,-0.982433031872425,768,49,0.0806928127351981,55.172128697505066,157.673491988873,0.2392136174504145,0.2404516454643093,0.2366852364801389,0.2254957339355801,0.0012380280138947,0.0111895025445588,0.0519055868341273,0.2897983496147011
mc2_b32_384,mc2,43.07,43.37,43.07,,77.31,69.2,42.62,2.59,-2.42,768,144,53.00933836385334,383.3491813838442,0.8738212618518426,3.0,10.0,0.9940234765707016,lang,-1.2514340972784057,768,144,0.0741288995795387,54.590716666684514,148.71601198726714,0.2315205501562943,0.2328138916446444,0.2273304185005269,0.2151737012165538,0.00129334148835,0.012156717283973,0.0484625378951927,0.2877829414245743
mc2_g14_224,mc2,50.77,48.84,50.77,40.9,85.72,82.6,48.47,2.4549,-2.32,1664,256,85.54733045807936,435.56033037880286,0.8818663658658151,3.0,16.0,0.989307523568648,lang,1.7395108668700558,1664,256,0.0458960409094612,111.47265275495587,371.9810486903883,0.2941282342557094,0.2883487704118415,0.2965069748220016,0.285733297914212,-0.0057794638438679,0.0107736769077896,0.0692291035080121,0.3054708469865416
mc2_g14_378,mc2,52.56,47.08,52.56,45.93,86.64,83.5,48.69,2.5671,-2.35,1664,729,82.22661650753966,432.7796790710911,0.8852898697112691,3.0,16.0,0.9885169118538998,lang,3.014370482448726,1664,729,0.0497892602437913,104.47752628616664,349.28147978022844,0.2970295841150697,0.2917062751373934,0.2967997262661498,0.2853633278512598,-0.0053233089776763,0.0114363984148899,0.0669987007362494,0.3014030094565236
mc2_h14_378,mc2,50.89,40.52,50.89,,85.96,82.3,48.08,2.6415,-2.33,1280,729,54.75247597746283,418.91157246085135,0.8829028543505993,4.0,16.0,0.9867165979407928,lang,1.7251264187601478,1280,729,0.0821949260603389,63.2065220574028,236.0059716197296,0.2661479170507518,0.2656438624543741,0.2612858951913271,0.2470071127328015,-0.0005040545963777,0.0142787824585256,0.0543741879601559,0.2282079353232204
mc2_l14_224,mc2,49.46,40.43,49.46,41.39,84.0,79.2,46.37,2.4668,-2.33,1024,256,57.88364097657198,395.73744757189775,0.869663941965598,4.0,14.0,0.9912569858049572,lang,1.3925994116577698,1024,256,0.065220897797082,61.69115195486423,176.8437132716666,0.2633385180555225,0.2639078110956326,0.2584271441530968,0.2494164923917811,0.0005692930401101,0.0090106517613157,0.0519272412299696,0.2735662308832047
mc2_m16_224,mc2,43.34,38.76,43.34,,74.88,66.4,42.62,2.6228,-2.4,512,196,66.561316622511,361.0980096684081,0.8670590274283405,3.0,13.0,0.9912194609920544,lang,0.3792084398344784,512,196,0.057347904546794,66.5613166225111,144.14916693708875,0.2378900915306819,0.238611616741908,0.2365745682596017,0.2226615489937372,0.000721525211226,0.0139130192658645,0.0541143352100476,0.2891826558140024
mc2_m16_224_mt5,mc2,43.25,40.42,43.25,,74.76,67.0,41.79,2.6231,-2.49,512,196,46.28714434517789,353.82395633711127,0.8833700740324043,3.0,11.0,0.993121351973846,lang,0.3564006638894241,512,196,0.0821181551677036,46.28714434517779,118.4075471375557,0.2422516832387508,0.2402318359176157,0.2396743383658207,0.2278933270292931,-0.002019847321135,0.0117810113365276,0.0530749242096145,0.2734345020152329
mc2_m16_384,mc2,44.79,42.93,44.79,,76.84,68.4,41.91,2.5923,-2.49,512,576,64.40918680588281,356.61551942424575,0.8674110019226247,3.0,14.0,0.9908276071163172,lang,0.7317354469368453,512,576,0.0591336397377403,64.40918680588285,139.7363414205726,0.2353182291096164,0.2355468381802404,0.2350852099501594,0.2214206853486786,0.000228609070624,0.0136645246014808,0.0517973148549155,0.2801372394568084
mc2_s16_224,mc2,41.05,39.77,41.05,30.59,71.2,61.4,40.22,2.6661,-2.53,384,196,54.283010272454895,265.9415131093064,0.892178785781628,3.0,13.0,0.9927467792242836,lang,0.1497699775198029,384,196,0.0612327339950458,54.28301027245488,110.02128551541254,0.2363297633819524,0.2348068604188022,0.2359990444074997,0.221042747506365,-0.0015229029631501,0.0149562969011347,0.055175400606323,0.2922929487418004
mc2_s16_224_mt5,mc2,41.35,39.12,41.35,,68.99,55.8,39.21,2.6624,-2.51,384,196,53.895171894534606,281.8023897833207,0.9092994310726786,3.0,12.0,0.9921234390739742,lang,1.6872267705319288,384,196,0.0758236662683676,53.89517189453461,118.33327045061704,0.233024057749501,0.2310450311171356,0.2323043038396585,0.2195378075790972,-0.0019790266323654,0.0127664962605612,0.0536595928973581,0.2791421922981372
mc2_s16_384,mc2,41.58,40.91,41.58,,73.57,63.9,41.36,2.6548,-2.47,384,576,51.89564561526157,263.0795926916137,0.8989199320789428,3.0,12.0,0.9923558860644708,lang,-0.6472764475655879,384,576,0.0632696541840541,51.89564561526162,106.2453621954932,0.2414078015466791,0.2403741745471528,0.2415490002629576,0.2271093911256311,-0.0010336269995263,0.0144396091373265,0.0537895192724123,0.2908246596218041
pe_core_b16_224,pe_core,45.91,,45.91,35.77,81.45,,,,-2.39,768,196,18.50316018027157,240.441472995444,0.8768889624584234,5.0,20.0,0.997231929425496,lang,-0.7295658271744117,768,196,0.1172815213030382,18.65407001063503,35.69792949174174,0.275003132234783,0.2792054310736181,0.2738693696351328,0.2651824146957211,0.0042022988388351,0.0086869549394117,0.0428540493720225,0.1319971621303141
pe_core_g14_448,pe_core,51.88,,51.88,42.41,88.22,,,,-2.33,1536,1024,4.614341988816214,108.82211745768412,0.9018045491417996,2.0,5.0,0.9994915831343733,lang,1.4496728657251268,1536,1024,0.295310358049157,4.628039810338825,5.760727483693165,0.2999964708142575,0.3038101815006057,0.3007748462346743,0.2926562478614384,0.0038137106863481,0.0081185983732359,0.0102425292334343,0.0499926133066548
pe_core_l14_336,pe_core,51.93,,51.93,,86.35,,,,-2.37,1024,576,8.25086930224773,235.02233572366453,0.9042548275184468,4.0,10.0,0.9969595064205468,lang,2.5467516905815373,1024,576,0.2255141331489148,8.347205458798834,16.500873060118632,0.2990682915342909,0.3032371912258306,0.292845619523827,0.2868736528433774,0.0041688996915396,0.0059719666804496,0.0327197921177999,0.070507200332841
pe_core_s16_384,pe_core,43.54,,43.54,,76.71,,,,-2.5,384,576,7.020043547461194,113.1145195477762,0.9118515337527374,2.0,8.0,0.9994966496667542,lang,-0.4454729770036181,384,576,0.2498553162540664,7.02004354746119,10.22644045856549,0.2497145563453803,0.2510538250512909,0.2475411203459843,0.2354616676165251,0.0013392687059106,0.0120794527294592,0.0251407535729753,0.0988816441954782
pe_core_t16_384,pe_core,36.86,,36.86,,60.9,,,,-2.75,192,576,6.736659850553767,78.64147891975131,0.9296149323886018,2.0,6.0,0.9995036510344464,lang,1.7271025422369206,192,576,0.2386484222287215,6.736659850553767,10.730855579245109,0.212873062654303,0.2136472066516044,0.2178675144502702,0.2034235686894674,0.0007741439973013,0.0144439457608027,0.0265915980944131,0.1167778010865897
pe_lang_g14_448,pe_lang,58.03,,58.03,,74.61,,,,-2.15,1536,1024,49.30866794894289,398.17235033687285,0.9033544455476682,3.0,14.0,0.9919350832502318,lang,15.220390943958122,1536,1024,0.0796314839411238,56.773508687684,202.394727966094,0.3133826874171596,0.3096924820731507,0.3088565150233094,0.3024758339435489,-0.0036902053440088,0.0063806810797605,0.0739714161974881,0.3046099240199747
pe_lang_g14_448_tiling,pe_lang,56.03,,56.03,,76.68,,,,-2.15,1536,1024,27.61751097355862,404.9449717857309,0.8924459652203913,3.0,15.0,0.9895306753423624,lang,12.061325079010118,1536,1024,0.1510291770974086,32.36842961438517,186.22261254403568,0.3058155778350391,0.3018329409709462,0.3030196318957332,0.2953218924092953,-0.0039826368640928,0.0076977394864379,0.0651797314854915,0.1906055908719702
pe_lang_l14_448,pe_lang,45.62,,45.62,42.48,75.11,,,,,1024,1024,57.251961238488136,398.78052660603487,0.8857880588536625,3.0,12.0,0.9929315503437374,lang,2.530423343729133,1024,1024,0.0654430011916012,62.39422383137124,187.9691908629204,0.3039752025928388,0.3046871002044945,0.299737863361594,0.2937552848815804,0.0007118976116556,0.0059825784800136,0.0706799480294499,0.3312995886970411
pixio_vit1b16,pixio,46.05,,46.05,,74.21,,,,-2.36,1536,256,9.173638430371732,342.6399778513667,0.9127061649598192,2.0,6.0,0.996333818893606,ssl,3.4643650241413155,1536,256,0.2804374727979866,9.638034238456338,47.57719809066316,0.2714570150426493,0.2697665987443916,0.2635522409050528,0.2557841043864497,-0.0016904162982577,0.007768136518603,0.0471199653529666,0.183776097615458
pixio_vitb16,pixio,41.0,,41.0,33.11,69.25,,,,-2.68,768,256,7.775095404152066,259.1014600863973,0.901589512928053,1.0,5.0,0.998596840961646,ssl,1.1916436184128545,768,256,0.2846365520289691,7.804628778822982,23.997388138106835,0.2733762409467295,0.2732971156940664,0.2654929087340746,0.2586386437583127,-7.912525266307036e-05,0.0068542649757619,0.04623213512343,0.2050850558809543
