name,r2_n100,r2_n250,r2_n600,r2_n1500,r2_n2400,sat_250_2400,sat_600_2400
mc1_b32_224_2.5b,0.11148126348955685,0.1527215601565611,0.19550314831389015,0.22756297554223548,0.24089663736297562,0.6339713240847151,0.811564455419575
mc1_b32_224_400m,0.10639855199058579,0.14783525968300693,0.190643344281623,0.22259219609311753,0.23664299332519478,0.6247185163004244,0.8056158418332755
mc1_g14_224_2.5b,0.1086824828118792,0.16647317362603042,0.2197925102547861,0.2572138561125763,0.27316465882685315,0.6094242730409365,0.8046154696537913
mc1_h14_224_2.5b,0.09888354039331704,0.16241761648419475,0.21650605376603227,0.2530287023213793,0.27415210701167125,0.592436141580631,0.7897296727937062
mc1_h14_224_v1.2,0.10357133537037717,0.15632462665976532,0.20738323178786866,0.24439715241291426,0.2623458122270438,0.5958723919880078,0.7904956821204813
mc1_l14_224_2.5b,0.11329657182942628,0.16698167226219363,0.2199846812019081,0.2581061890294516,0.277110105481452,0.6025823994115233,0.7938529734226256
mc1_l14_224_400m,0.11451628424518685,0.16132780852397485,0.21516641359477787,0.2514869168440119,0.26805174328459747,0.6018532338089999,0.8027047724376488
mc2_b16_224,0.11540621315769861,0.15709432723180197,0.20140182809821336,0.23444640497761404,0.24937527201260834,0.6299515022638625,0.8076254973990787
mc2_b16_384,0.11396128342536442,0.15521634590183153,0.2001281134059987,0.2331085785403053,0.248057776253364,0.6257265877579058,0.8067802446216789
mc2_b32_224,0.10879281282367774,0.1483971110778969,0.18971862645049378,0.21929266107881418,0.23233165786333754,0.6387296180066312,0.8165853426746102
mc2_b32_224_mt5,0.10645582621965981,0.15009232967769046,0.19364962389700058,0.22538684879413706,0.24045164546430942,0.6242100335302919,0.8053578652916488
mc2_b32_384,0.10358465028666282,0.14579916766144577,0.18754884645897987,0.21843931614123646,0.2328138916446444,0.6262477149945433,0.8055741224636421
mc2_g14_224,0.13214318893285107,0.18893912736356913,0.24028360081458114,0.27320738348323015,0.28834877041184126,0.6552451293401118,0.8333089143102298
mc2_g14_378,0.13121327540231706,0.1894744998483725,0.2416419787342766,0.27597870836826077,0.29170627513739333,0.649538648968488,0.8283742906129239
