name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res
siglip2_l16_256,siglip2,50.76,49.09,50.76,42.35,85.16,82.4,41.64,2.4482,-2.14,1024,256,72.21162497130932,409.8434338629375,0.8916873320523396,3.0,15.0,0.991575940566803,lang,2.043074579126518
siglip2_l16_384,siglip2,53.01,52.56,53.01,45.86,85.82,83.2,43.69,2.4546,-2.16,1024,576,69.41088781838387,407.2638273152856,0.8986258849078047,3.0,15.0,0.9913472451725924,lang,3.923517346824262
siglip2_l16_512,siglip2,54.47,39.19,54.47,,85.82,83.5,50.4,2.4438,-2.16,1024,1024,67.5318492812564,404.9612998780764,0.8933365452854217,3.0,15.0,0.9913563606991872,lang,5.383517346824263
siglip2_sm14_224,siglip2,53.02,49.12,53.02,42.81,85.94,83.2,50.75,2.3835,-2.08,1152,256,71.78072050125321,407.08834746461895,0.8954328551817287,3.0,16.0,0.9903742040147444,lang,3.866325122769304
siglip2_sm14_384,siglip2,54.49,54.06,54.49,45.57,86.58,84.1,53.46,2.3977,-2.1,1152,729,64.60918599923349,402.2849830932896,0.8885047132566846,3.0,16.0,0.9906813141277836,lang,4.9779665944762
siglip2_sm16_256,siglip2,51.4,49.12,51.4,41.94,86.03,83.3,50.84,2.4024,-2.09,1152,256,71.61796459755844,406.80556556838826,0.8964744495215858,3.0,16.0,0.9904356976200104,lang,2.195930954728084
siglip2_sm16_384,siglip2,53.12,51.75,53.12,44.08,86.32,84.2,54.1,2.4232,-2.16,1152,576,66.2109061399683,403.1521979201655,0.9057898416459156,3.0,16.0,0.9907555432219828,lang,3.753549746595276
siglip2_sm16_512,siglip2,54.97,52.51,54.97,42.37,86.65,84.3,48.13,2.4648,-2.15,1152,1024,62.45250619675646,400.1888039324132,0.8979434376934381,3.0,16.0,0.990902134945117,lang,5.418771130444135
toklip_l_384,toklip,43.99,38.23,43.99,,74.32,80.0,38.22,3.0652,,1152,576,47.37321234435746,385.0488011406716,0.881164516379635,3.0,13.0,0.9938813375668784,lang,1.3427721520909373
toklip_s_256,toklip,40.76,39.02,40.76,,71.02,76.3,36.6,2.9819,,1152,256,49.31577302743509,384.7367629859685,0.8893433787300531,3.0,13.0,0.9938205167352904,lang,-0.03944168639775825
uniar_bsq,uniar,40.87,34.9,40.87,,59.39,,,,,4096,64,9.193812478020716,280.8105348506185,0.8834996599998106,3.0,14.0,0.9955940849728094,other,6.582604694928449
unitok_attn,unitok,42.5,41.48,42.5,,78.08,76.8,47.16,2.9037,,1024,256,63.73887340772536,296.16295857090233,0.6938736289807187,3.0,14.0,0.9933294071364274,lang,-2.252584201631038
vilau_256,vilau,40.53,39.45,40.53,,77.51,72.7,39.77,2.8176,,1024,256,3.81587497828788,177.2784230453788,0.5619249792249656,2.0,3.0,0.9994106977032744,lang,-3.903421137369996
webssl_mae1b_full2b_224,webssl_mae,33.73,,33.73,23.84,54.27,,,,-2.71,1536,256,2.7000244750769014,118.59505734825362,0.8846549910955597,1.0,3.0,0.9996262790843866,ssl,2.3094729212732688
webssl_mae2b_full2b_224,webssl_mae,33.83,,33.83,,59.49,,,,-2.68,2688,256,2.6487449584862133,120.82348240964394,0.9075195540149008,1.0,3.0,0.9995752619622018,ssl,-0.513388825117346
webssl_mae300m_full2b_224,webssl_mae,33.59,,33.59,29.34,49.01,,,,-2.66,1024,196,2.3436705478427697,137.91462142451763,0.8930071486161693,1.0,2.0,0.9996023970998994,ssl,5.114732075682209
webssl_mae3b_full2b_224,webssl_mae,36.13,,36.13,25.34,59.5,,,,-2.61,3072,256,3.065699459974968,115.28909034823864,0.902954777910982,1.0,4.0,0.999561600147875,ssl,1.781011822878078
webssl_mae700m_full2b_224,webssl_mae,33.78,,33.78,,53.16,,,,-2.67,1280,256,2.786395226452427,128.41633720105526,0.8884184632496346,1.0,3.0,0.9995668321297364,ssl,2.981000993781624
