name,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act
pe_core_l14_336,0.8043261402837628,0.8051649880676851,0.4763673656415188,0.5008684033540953,0.4502111683822799,0.45594357600014745,0.2549704876879707,0.14894071559624925,0.2120419293969423,0.4149680652772374
pe_core_s16_384,0.6855310347783677,0.6444800438995301,0.3827177443286506,0.40749481494233947,0.3947634080072501,0.385132788353218,0.22451387168264958,0.1371167550442871,0.1700118481279761,0.32981899619177674
pe_core_t16_384,0.5725245105997605,0.5479039998739884,0.3434032194268056,0.3496971133282753,0.3083225894056749,0.34187649994448294,0.21873277196349242,0.13262334784754912,0.14709686128851768,0.28554524943809234
pe_lang_g14_448,0.8194400387557021,0.8431374381568302,0.5451752966797446,0.5772003171625252,0.5120305071908898,0.4715165362487109,0.25715269909885763,0.16308875217657273,0.22350038837089584,0.4799522566544184
pe_lang_g14_448_tiling,0.8248094099021829,0.8234289253274323,0.5189619983054828,0.5525270771150331,0.4845058012692819,0.46416649245239067,0.2413235965761551,0.16821773869538917,0.22356005284598082,0.46724579268634764
pe_lang_l14_448,0.8050719667190875,0.7984688844959827,0.4874242542579753,0.5283171970122363,0.48581708428439896,0.45088653059515765,0.2761404989933829,0.16769013743977934,0.2028467319082675,0.4362929212250259
pixio_vit1b16,0.7522003756368446,0.6954838581684016,0.42611431284793166,0.44200025340859694,0.3806852904640619,0.41841576102414146,0.17719500855829315,0.15384813263254385,0.17492968761338562,0.4076620680015909
pixio_vitb16,0.7145038455913851,0.665281904032825,0.4074873214608163,0.4098789788469632,0.35245389599311305,0.4131315839741374,0.1799678788525981,0.15564242715268425,0.1751587424237086,0.38885945562805196
pixio_vith16,0.7453263450030897,0.6834892404794629,0.42171760377951956,0.4270338700485954,0.358955306577266,0.4161817732428532,0.1767509492685366,0.15002000817976782,0.17342061331593944,0.39330440490634044
pixio_vitl16,0.7528855621009622,0.6948258601583346,0.4315584360725557,0.43454487750576487,0.37594117665217663,0.4203949420642408,0.18676134627958274,0.15387022603785325,0.17536352595819252,0.40732148106825483
raev2,0.8088258375660967,0.7658145320968286,0.4475232757862239,0.4743461001173095,0.41631456380701537,0.431223108625379,0.20024353396963596,0.1427353608464757,0.17020218250854682,0.3754352874943258
siglip2_b16_224,0.7844965959269286,0.752778063135724,0.454951214322843,0.47135308886596655,0.43421064521024977,0.4382678216094223,0.25958151768226645,0.15637113743226558,0.19928424087053676,0.39993784908930075
siglip2_b16_256,0.7816420983161219,0.7599326498361128,0.4573200400482742,0.48390197069093505,0.4455241938724924,0.4415594567477249,0.2639696412997186,0.15557009942893715,0.20138438988427643,0.4001550026396565
siglip2_b16_384,0.7914769384155278,0.7700431704029017,0.46069373387553236,0.48835208407501135,0.44650401013961644,0.4419917100582081,0.2522485054986908,0.1526175185715361,0.1973934824295197,0.40991089598449626
siglip2_b16_512,0.7912488306967502,0.7742576532203029,0.4634139134402747,0.49105120666356683,0.4565238280905815,0.4429293948001392,0.2536317230560792,0.15252420159495148,0.19746322787301662,0.4072523669017668
siglip2_b32_256,0.7557627307713093,0.722319884127443,0.4220033784906808,0.44469903390822063,0.3792886355071443,0.4262004004032507,0.2685256158565603,0.14763859398676699,0.20457630285612524,0.39244127583228056
siglip2_g16_256,0.8071164876812873,0.8166290851548582,0.49544341695992894,0.5246361165943645,0.4562705460911985,0.4575886205177204,0.24921726101454061,0.14658129012993196,0.21531795333062873,0.44299749338986727
siglip2_g16_384,0.804114560411658,0.821503596405412,0.49595104024566933,0.5267270417791801,0.4671968117239319,0.4610790936678029,0.24811072347420443,0.15291940935448015,0.21070299961143305,0.44858950782767104
siglip2_l16_256,0.8072167451476625,0.8019965538644558,0.4883576173640051,0.5090072677642403,0.4373963743545819,0.4544456232503873,0.2323021372068391,0.15705768771002526,0.2051998031134673,0.4263378831904517
siglip2_l16_384,0.8076374986604297,0.8102082459201587,0.4928610029488355,0.5057871755539499,0.4370690392543774,0.455867298693562,0.24862468992380815,0.15319731163309316,0.2036608464618602,0.43098891404387407
